,Name,rating,Contribution,userLocation,reviewMessage,month,year
0,JoeB70,5.0,86,"Lafayette, LA",Fun &amp; comfortable,Dec,2022
1,Cindy C,5.0,36,"Cedar Grove, NJ",Great way to see Boston,0,0
2,Barbara H,4.0,1,0,Boston,Nov,2022
3,LouiseB,5.0,31,"Dublin, Ireland",Local knowledge and fun experience,Dec,2022
4,Ruth Rivard,5.0,2,0,Old town trolly bus trip,0,0
5,Ola C,4.0,1,0,Big city orientation,0,0
6,Laura L,5.0,4,"Pensacola, FL",Would Ride again!,Aug,2022
7,Colin B,5.0,10,Blackpool,Great Value for money,Oct,2022
8,Vera Florez,5.0,3,"North Miami Beach, FL",Great idea,0,0
9,Roy M,5.0,2,0,Great,Nov,2022
10,Gabby W,5.0,4,"Rocca di Papa, Italy",Great way to see and learn about Boston,Nov,2022
11,Leah M,4.0,1,0,Great way to see the city!,Nov,2022
12,KamsMomJ13,5.0,1,"Irmo, SC",Fabulous Fun and Informative,Nov,2022
13,dorit d,5.0,1,0,"Great Drivers, Great Tour",Nov,2022
14,Dougiepc,4.0,715,"Chipping Ongar, UK",Pretty good,Nov,2022
15,SnyderDuane,4.0,23,"Denver, CO",Great way to see the city,Oct,2022
16,Rick M,5.0,2,0,Excellent,Nov,2022
17,nf25h,5.0,1,0,Superb day in Boston!,0,0
18,Barry B,2.0,170,"Ottawa, Canada",very expensive way to see the town,Oct,2022
19,Peter W,4.0,781,"Shrewsbury, UK",Great way to see the city,0,0
20,LaZ_12,2.0,2,"Detroit, MI",Not worth it,Nov,2022
21,Emily H,2.0,5,"Kansas City, MO",not worth the cost and wouldn’t recommend,Oct,2022
22,Megan,4.0,1,"Cozad, NE",Fun Day,Nov,2022
23,Amber C,5.0,1,0,Do it,Nov,2022
24,DLKentucky,5.0,262,Kentucky,Good way to see all areas,Nov,2022
25,dcallan,5.0,82,"Blairstown, NJ",Great way to see Boston,Oct,2022
26,Gretchen J,2.0,2,0,Too much $ for not enough value,Oct,2022
27,Bethany E,2.0,3,0,Rude AF,Oct,2022
28,Anita P,5.0,2,"Minneapolis, MN",The staff were warm and friendly. The staff were very knowledgeable about the history of Boston. In the future I would like some,0,0
29,Patrick,5.0,2,"Boston, MA",Wonderful,Oct,2022
30,han l,1.0,4,0,Never use their service again and would not recommend to any one.,Oct,2022
31,LJR,4.0,2,0,Great Overview of Boston,Oct,2022
32,Cory K,1.0,2,0,Service Dogs are not Truly Welcome.Driver would not allow us on bus without disclosing medical condition over PA.,0,0
33,Kevin R,5.0,161,"Cheltenham, UK",Great tour. Beanie is a fabulous guide.,Oct,2022
34,Jerry H,5.0,75,"Lacey, WA",Great way to see Boston!,0,0
35,redsnut1355,5.0,175,"Baltimore, MD",Outstanding Way to See Boston,Oct,2022
36,Yarrow72,1.0,1,"Bristol, UK",Terrible,Oct,2022
37,Martha K,5.0,7,"Gillette, WY",Lots to See and Do!,0,0
38,Daniel Camp,5.0,10,"Birmingham, UK",Thank you for a great day,Oct,2022
39,Lori S,3.0,2,0,Boston Hop off hop on,Oct,2022
40,Jennifer P,5.0,2,0,So much fun and the history is an experience to be remembered.,Oct,2022
41,Jennifer M,3.0,1,0,Get ready to wait!!,Oct,2022
42,Kpiper65,3.0,7,"Johnstown, OH",Very Inconsistent Wait Times,0,0
43,Linda B,4.0,7,"Parker, CO",Mostly very interesting for Boston first timers.,Oct,2022
44,Jeff H,5.0,2,"Lake Tahoe (California), CA",Best of the best,Oct,2022
45,CharlieTheFifth,5.0,2,0,A must do for Boston first timers,Oct,2022
46,Linda Schinck,4.0,4,"Taylors, SC",Not much hopping-off time,Oct,2022
47,KateWillTravel,3.0,26,"Herndon, VA",Guide can make or break your tour.,0,0
48,Lance H,4.0,31,"Longview, TX",NE in the fall,Oct,2022
49,Tracy2travel13,5.0,72,"Royersford, PA",Ted Lasso the Boston trolley driver,0,0
50,SidB_atl,5.0,89,"Atlanta, GA",Boston hop on hop off stands out as exceptional,0,0
51,thespadebaron,3.0,31,0,Meh,0,0
52,PPatterson77,5.0,26,"Ogden, UT",Excellent Tour,Oct,2022
53,ruthmark2018,3.0,2,0,Misleading information,Oct,2022
54,Sandi M,4.0,1,0,Boston,Oct,2022
55,Amanda R,5.0,2,0,Easy way to get around,Oct,2022
56,Cathy C,4.0,4,0,Wonderful experience.,Oct,2022
57,Laurie S,1.0,1,0,waste of money,Oct,2022
58,Frank Zdanowicz,5.0,5,"Oneida, NY",Hop on hop off super fun,0,0
59,George R,4.0,36,Santa Fe,Summary,0,0
60,LouAnn R,2.0,2,"Saint Louis, MO",Never again,Oct,2022
61,Valerie M,5.0,2,0,Great time in Boston,Oct,2022
62,Debbie W,5.0,1,0,So easy!,Oct,2022
63,Dave W,5.0,133,"Saint Louis, MO",Great Way to Start Boston Visit,Oct,2022
64,Tammy H,5.0,2,"Menomonee Falls, WI",Great way to see the city.,Oct,2022
65,Mary A,5.0,133,"Plano, TX",Great overview and interesting commentary!,Oct,2022
66,rox70047,4.0,59,"New Orleans, LA",Fun time on the trolley,Oct,2022
67,Sarah M,5.0,20,"Lynden, WA",Way better than driving!,Oct,2022
68,Paul H,4.0,"2,779","Garstang, UK",A very enjoyable day,0,0
